city,state,latitude,longitude,dup
Kaltukatjara, NT,-21, 134.380,FALSE
Kintore, NT,-21, 134.380,FALSE
Kiwirrkurra, NT,-21, 134.380,FALSE
Kulgera, NT,-21, 134.380,FALSE
Kunparrka, NT,-21, 134.380,FALSE
Lake Mackay, NT,-21, 134.380,FALSE
Laramba, NT,-21, 134.380,FALSE
Mereenie, NT,-21, 134.380,FALSE
Mimili, SA,-21, 134.380,FALSE
Mount Liebig, NT,-21, 134.380,FALSE
Mount Zeil, NT,-21, 134.380,FALSE
Mulga Bore, NT,-21, 134.380,FALSE
Murputja Homelands, NT,-21, 134.380,FALSE
Mutitjulu, NT,-21, 134.380,FALSE
Namatjira, NT,-21, 134.380,FALSE
Ngaanyatjarra-Giles, WA,-21, 134.380,FALSE
Nyapari, NT,-21, 134.380,FALSE
Nyirripi, NT,-21, 134.380,FALSE
Papunya, NT,-21, 134.380,FALSE
Patjarr, NT,-21, 134.380,FALSE
Petermann, NT,-21, 134.380,FALSE
Pitjantjatjara Homelands, NT,-21, 134.380,FALSE
Sandover, NT,-21, 134.380,FALSE
Santa Teresa, NT,-21, 134.380,FALSE
Simpson, NT,-21, 134.380,FALSE
Tanami, NT,-21, 134.380,FALSE
Tara, NT,-21, 134.380,FALSE
Thangkenharenge, NT,-21, 134.380,FALSE
Ti Tree, NT,-21, 134.380,FALSE
Titjikala, NT,-21, 134.380,FALSE
Tjirrkarli, NT,-21, 134.380,FALSE
Tjukurla, NT,-21, 134.380,FALSE
Uluru, NT,-21, 134.380,FALSE
Umpangara, NT,-21, 134.380,FALSE
Urapuntja, NT,-21, 134.380,FALSE
Wallace Rockhole, NT,-21, 134.380,FALSE
Wanarn, NT,-21, 134.380,FALSE
Willowra, NT,-21, 134.380,FALSE
Wilora, NT,-21, 134.380,FALSE
Wingellina, NT,-21, 134.380,FALSE
Wutunugurra, NT,-21, 134.380,FALSE
Yuelamu, NT,-21, 134.380,FALSE
Yuendumu, NT,-21, 134.380,FALSE
Yulara, NT,-21, 134.380,FALSE
Gapuwiyak, NT,-12.38, 130.870,FALSE
Gove, NT,-12.38, 130.870,FALSE
Gunyangara, NT,-12.38, 130.870,FALSE
Nhulunbuy, NT,-12.38, 130.870,FALSE
Yirrkala, NT,-12.38, 130.870,FALSE
Alyangula, NT,0, 0.000,FALSE
Jabiru, NT,-12.38, 130.890,FALSE
Sydney, NSW,-33.79, 151.270,FALSE
Haymarket, NSW,-29.82, 151.660,FALSE
Australia Square, NSW,-33.89, 151.180,FALSE
Grosvenor Place, NSW,-33.74, 151.030,FALSE
